taxpayer_pin,taxpayer_name,department,division,station_name,obligation_name,year,total_advance_tax_paid,total_turnover,is_nil_return,variance,estimate
P051412222L,T.A MOTORS COMPANY LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2021,13920,10000,N,3920,352.8
P051757451S,PANAMAX ENGINEERING LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2023,62100,0,N,62100,5589
P051710953F,TEMESGHEN ENTERPRISE LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2021,23250,1,N,23249,2092.41
P051409200U,SAL-TECH TRADERS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2024,22750,11000,N,11750,1057.5
P051502327U,Silver Coin Imports Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2020,6150,0,N,6150,461.25
P051345354F,RIDGEVILLE ACADEMY LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2019,24000,12,N,23988,2158.92
P051464442A,TUTHIE AFRIKA LIMITED,MST,Compliance,NAKURU,Income Tax - Company,2020,5760,1,N,5759,431.925
P051551796N,Hunky Energy Limited,MST,Compliance,Thika,Income Tax - Company,2018,8100,1,N,8099,728.91
P051130937Z,Nyutu Agrovet Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2021,2400,1,N,2399,215.91
P051410190U,Prime Network Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2018,6600,2,N,6598,593.82
P051672173J,Coastlink Limited,MST,Compliance,Mombasa South,Income Tax - Company,2022,2400,0,N,2400,216
P051130937Z,Nyutu Agrovet Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2019,2400,0,N,2400,216
P051574892V,SANTARAM KENYA LIMITED,LMT,Compliance,MTO,Income Tax - Company,2016,7140,0.01,N,7139.99,642.5991
P051584989C,Mck Muthangene W.f.,MST,Compliance,Meru,Income Tax - Company,2016,47520,1,N,47519,4276.71
P000591561R,JOS. HANSEN & SOEHNE (EAST AFRICA) LIMITED,LMT,Compliance,MTO,Income Tax - Company,2023,10725,1,N,10724,965.16
P051308766P,KINGS DEVELOPERS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2020,12300,2,N,12298,922.35
P051872214Y,ZAMBURA COMPANY LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2020,2400,0,N,2400,180
P051328808G,WORCESTER LIMITED,MST,Compliance,West of Nairobi,Income Tax - Company,2018,4650,10,N,4640,417.6
P051185142U,Hashi Logistics Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2021,2434290,1,N,2434289,219086.01
P051221366S,United Pharma (k) Limited,LMT,Compliance,MTO,Income Tax - Company,2021,4020,0,N,4020,361.8
P051575386W,BUNGOMA CLASSIC SHUTTLE,MST,Compliance,Eldoret,Income Tax - Company,2020,380160,100,N,380060,28504.5
P051349852Q,Longonot Gate Development Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,2400,1,N,2399,215.91
P051373356E,RONGAO SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,MST,Compliance,South of Nairobi,Income Tax - Company,2015,23760,10,N,23750,2137.5
P051568549W,KENJAPS MOTOR IMPORTERS,MST,Compliance,Machakos,Income Tax - Company,2016,3600,1,N,3599,323.91
P051240567Y,Shepherds Junior School Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2019,46080,1,N,46079,4147.11
P051595868B,EVERFRANK ENTERPRISES LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2016,3600,1,N,3599,323.91
P051405399Q,CHOUDHRY MOTORS LIMITED,LMT,Compliance,MTO,Income Tax - Company,2019,185460,1,N,185459,16691.31
P051109261A,Order Of Saint Augustine,MST,Compliance,West of Nairobi,Income Tax - Company,2019,46800,26807,N,19993,1799.37
P051412128Q,DELTA FORWARDERS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2017,188100,1,N,188099,16928.91
P051316932C,Soweto Slums Good Samaritan Orphans & Destitute Group,MST,Compliance,North of Nairobi,Income Tax - Company,2017,2400,1,N,2399,215.91
P051102566S,Africa Inland Church Diguna,MST,Compliance,South of Nairobi,Income Tax - Company,2017,261360,1,N,261359,23522.31
P051111545H,Mombasa Machinery Services Limited,MST,Compliance,Mombasa South,Income Tax - Company,2020,2400,0,N,2400,180
P051178677R,Tiba Transporters Company Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2017,486750,5,N,486745,43807.05
P051655974Y,A.i.p.c.a Dandora Creative Centre,MST,Compliance,East of Nairobi,Income Tax - Company,2017,36720,0,N,36720,3304.8
P051152632M,SILVERSTONE QUARRY LIMITED,LMT,Compliance,MTO,Income Tax - Company,2018,394440,10,N,394430,35498.7
P051583577S,The Horizon Resort Limited,MST,Compliance,KITALE,Income Tax - Company,2017,7860,0,N,7860,707.4
P051316293K,Tasty Choice Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2021,84000,1,N,83999,7559.91
P051650395L,Jacridge School Limited,MST,Compliance,Thika,Income Tax - Company,2020,71280,100,N,71180,5338.5
P051843382P,TUDOR PEARL TOWERS LIMITED,MST,Compliance,Mombasa North,Income Tax - Company,2021,22500,0,N,22500,2025
P000633794F,The Khoja Shia Ithna Asheri Jamat Trust,MST,Compliance,Mombasa South,Income Tax - Company,2019,2400,0,N,2400,216
P051129873M,Congregation Of The Mission Of St Vincent De Paul,MST,Compliance,South of Nairobi,Income Tax - Company,2024,26600,1,N,26599,2393.91
P051169825G,Royal Scorpex Agencies Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2022,6750,2,N,6748,607.32
P051386853P,Universities Academic Staff Union,MST,Compliance,West of Nairobi,Income Tax - Company,2021,8640,1,N,8639,777.51
P051092698L,WINGS DRIVING SCHOOL LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2016,53460,1,N,53459,4811.31
P051625950N,Mashar General Enterprises Limited,MST,Compliance,KAJIADO,Income Tax - Company,2017,42000,1,N,41999,3779.91
P051211600A,SUMMIT COVE LINES COMPANY LIMITED,MST,Compliance,Mombasa South,Income Tax - Company,2016,13500,0,N,13500,1215
P051215220N,Samnje Enterprises Limited,MST,Compliance,East of Nairobi,Income Tax - Company,2016,2400,0,N,2400,216
P051442499N,Aspros Africa Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2019,12000,1,N,11999,1079.91
P051412459C,SILKTOUCH DISTRIBUTORS LIMITED,MST,Compliance,North of Nairobi,Income Tax - Company,2018,2400,1,N,2399,215.91
P051352891I,Sargeor Ea Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2017,15120,6137,N,8983,808.47
P051700350V,Richindo Enterprises Limited,MST,Compliance,KERICHO,Income Tax - Company,2021,15270,1,N,15269,1374.21
P051699933Z,Samjen Wholesalers Ltd,MST,Compliance,Machakos,Income Tax - Company,2023,2400,1,N,2399,215.91
P051320245N,Enaidura Safaris Limited,MST,Compliance,NAROK,Income Tax - Company,2021,5040,1000,N,4040,363.6
P051104278X,Allie Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2016,43650,0,N,43650,3928.5
P051321228L,Roman Trading & Holdings Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2019,2400,0.1,N,2399.9,215.991
P051186975P,Franciscan Sisters Of Saint Anna,MST,Compliance,Kisumu,Income Tax - Company,2015,20640,1,N,20639,1857.51
P051710999T,MONAGRAND INVESTMENT LIMITED ,MST,Compliance,East of Nairobi,Income Tax - Company,2021,10080,1,N,10079,907.11
P051469374V,Kolma Agencies,MST,Compliance,Thika,Income Tax - Partnership,2016,20160,1,N,20159,1814.31
P051391661Z,Kijana Educational Empowerment,MST,Compliance,Kakamega,Income Tax - Company,2024,56400,1,N,56399,5075.91
P051370252T,Partners In Children And Family Support,MST,Compliance,NAKURU,Income Tax - Company,2025,34800,2,N,34798,3131.82
